Depot,Route,Street,Address Range,LDU,Pull #
Whiterock,LC0008,12B Avenue,13289 - 13295,1C2,4
Whiterock,LC0008,132A Street,1334 - 1335,7E7,6
Whiterock,LC0008,132B Street,1297 - 1347,4C2,5
Whiterock,LC0008,132B Street,1342 - 1302,4C3,3
Whiterock,LC0008,133A Street,1287 - 1349,4C4,19
Whiterock,LC0008,133A Street,1332 - 1332,5E9,16
Whiterock,LC0008,133A Street,1403 - 1437,6A2,23
Whiterock,LC0008,133A Street,1418 - 1418,6A2,22
Whiterock,LC0008,133A Street,1469 - 1565,6A3,26
Whiterock,LC0008,133A Street,1552 - 1468,6A4,31
Whiterock,LC0008,133A Street,1605 - 1669,6H5,50
Whiterock,LC0008,133A Street,1698 - 1632,6H5,49
Whiterock,LC0008,133B Street,1491 - 1547,6A5,30
Whiterock,LC0008,133B Street,1540 - 1498,6M2,29
Whiterock,LC0008,134 Street,1618 - 1611,9R4,62c
Whiterock,LC0008,134A Street,1393 - 1439,9A6,38
Whiterock,LC0008,134A Street,1447 - 1447,9A6,39
Whiterock,LC0008,134A Street,1466 - 1418,9A5,34
Whiterock,LC0008,134A Street,1469 - 1559,5P7,40
Whiterock,LC0008,134A Street,1534 - 1510,5P2,43
Whiterock,LC0008,134B Street,1648 - 1688,0A6,63
Whiterock,LC0008,134B Street,1693 - 1683,6M9,61
Whiterock,LC0008,135A Street,1689 - 1651,9K9,60c
Whiterock,LC0008,135B Street,1652 - 1670,9K9,60e
Whiterock,LC0008,136 Street,1335 - 1335,40,14
Whiterock,LC0008,136 Street,1417 - 1483,400,36
Whiterock,LC0008,13A Avenue,13387 - 13401,5Y3,17
Whiterock,LC0008,13A Avenue,13404 - 13346,1C3,18
Whiterock,LC0008,13A Avenue,13451 - 13577,1C5,13
Whiterock,LC0008,13A Avenue,13578 - 13456,1C4,12
Whiterock,LC0008,14 Avenue,13376-13424,9B6,46a
Whiterock,LC0008,14 Avenue,13377 - 13377,9B6,46b
Whiterock,LC0008,14 Avenue,13429 - 13383,9B7,46b
Whiterock,LC0008,14 Avenue,13465 - 13575,1G8,35
Whiterock,LC0008,14 Avenue,13588 - 13462,5H5,37
Whiterock,LC0008,14A Avenue,13281 - 13319,6P3,25
Whiterock,LC0008,14A Avenue,13314 - 13294,6Z5,24
Whiterock,LC0008,14A Avenue,13339 - 13347,6K9,32
Whiterock,LC0008,14A Avenue,13367 - 13427,7P9,33
Whiterock,LC0008,14A Avenue,13388 - 13330,6H6,21
Whiterock,LC0008,14A Avenue,13422 - 13406,9G1,20
Whiterock,LC0008,14A Avenue,13502 - 13582,9E7,1a
Whiterock,LC0008,14A Avenue,13585 - 13505,9E7,1b
Whiterock,LC0008,15 Avenue,13481 - 13557,5H4,44
Whiterock,LC0008,15 Avenue,13586 - 13468,1L2,45
Whiterock,LC0008,15A Avenue,13461 - 13521,6S7,41
Whiterock,LC0008,15A Avenue,13522 - 13480,5P1,42
Whiterock,LC0008,15A Avenue,13540 - 13588,8Z9,47a
Whiterock,LC0008,15A Avenue,13569 - 13541,9A1,47b
Whiterock,LC0008,15B Avenue,13317 - 13389,6C8,27
Whiterock,LC0008,15B Avenue,13386 - 13378,6L9,28
Whiterock,LC0008,16A Avenue,13410 - 13428,9R4,62a
Whiterock,LC0008,16A Avenue,13433 - 13419,9R4,62b
Whiterock,LC0008,16A Avenue,13438 - 13448,9R4,60b
Whiterock,LC0008,17 Avenue,13429 - 13499,6B1,58
Whiterock,LC0008,17 Avenue,13456 - 13406,6M8,59
Whiterock,LC0008,17 Avenue,13552 - 13568,9K9,60a
Whiterock,LC0008,17 Avenue,13588 - 13588,9K9,60d
Whiterock,LC0008,17A Avenue,13319 - 13393,6L1,53
Whiterock,LC0008,17A Avenue,13398 - 13338,6C5,54
Whiterock,LC0008,Amble Wood Drive,13295 - 13311,6M4,52
Whiterock,LC0008,Amble Wood Drive,13345 - 13395,6C6,55
Whiterock,LC0008,Amble Wood Drive,13372 - 13290,6G9,51
Whiterock,LC0008,Amble Wood Drive,13392 - 13382,6L2,48
Whiterock,LC0008,Amble Wood Drive,13407 - 13417,6C6,56
Whiterock,LC0008,Amble Wood Drive,13454 - 13404,6M3,57
Whiterock,LC0008,Marine Drive,13115 - 13245,1E6,8
Whiterock,LC0008,Marine Drive,13212 - 13114,1E7,7
Whiterock,LC0008,Marine Drive,13255 - 13257,1E8,9
Whiterock,LC0008,Marine Drive,13273 - 13357,1E8,10
Whiterock,LC0008,Marine Drive,13350 - 13292,1E9,2
Whiterock,LC0008,Marine Drive,13365 - 13589,1G1,11
Whiterock,LC0008,Marine Drive,13590 - 13372,1G2,15
